"Timestamp","Message"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 80 10.0.0.174 29743 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 2 - 10.0.0.174 - 77.90.185.153 6 us-east-1 77.90.185.153 58164 1701225920 - - subnet-066b93a317b004cf7 6 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 77.90.185.153 58164 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 77.90.185.153 - 10.0.0.174 6 us-east-1 10.0.0.174 29743 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 9945 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 35.203.211.144 6 us-east-1 35.203.211.144 52801 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 35.203.211.144 52801 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 35.203.211.144 - 10.0.0.174 6 us-east-1 10.0.0.174 9945 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 12497 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 162.142.125.178 6 us-east-1 162.142.125.178 32821 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 162.142.125.178 32821 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 162.142.125.178 - 10.0.0.174 6 us-east-1 10.0.0.174 12497 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 9553 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 35.203.211.67 6 us-east-1 35.203.211.67 53610 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 35.203.211.67 53610 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 35.203.211.67 - 10.0.0.174 6 us-east-1 10.0.0.174 9553 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 8078 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 35.203.210.45 6 us-east-1 35.203.210.45 56630 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 35.203.210.45 56630 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 35.203.210.45 - 10.0.0.174 6 us-east-1 10.0.0.174 8078 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
